query,dataflow,scale_factor,customer_factor,core_pin,workers,extra_workers,add_cpu_threads,chunk_bytes,nvchunk,comp_algo,sort_by,max_gpu_um_memory,pruning,pruning_param,pruning_p,pruning_m,simulate_compute_ms,event_sync,device_mem_total,device_mem_used,host_mem_used,comp_bytes,uncomp_bytes,pruned_bytes,population_ms,comp_ms,prune_ms,time_ms,debug_0,debug_1,debug_2,debug_3
# GPU   Info: NVIDIA A100-SXM4-40GB, 00000000:47:00.0
# Slurm Info: 30663 32 1 gres:gpu:gpu_group1:1
# ../../../bin/ssb --dataflow=SSD2GPU --chunk_bytes=65536,262144,1048576,4194304,16777216,67108864,268435456 --comp_algo=UNCOMPRESSED,BEST_BW_COMP --cuda_device=0 --init_variant=init_only --nvchunk=65536 --print=csv --query=select_orderpriority,select_commitdate --repeat=2 --scale_factor=100 --ssdpath=/raid/gds/100G.file --dbpath=/mnt/labstore/nboeschen/ssb/diskdb100.dat --store_offset=0 --workers=1,2,4,8,16 --customer_factor=1 --sim_compute_ms=100 --event_sync=false
#[INFO ] Loading table data from disk ...
select_orderpriority,SSD2GPU,100,1,,16,1,1,16777216,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,14193745920,86788739072,643096576,9600266112,0,-1,2781.18,-1,73.4294,,,,
select_orderpriority,SSD2GPU,100,1,,16,1,1,67108864,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,16005685248,86839070720,645537792,9600266112,0,-1,1250.89,-1,56.9583,,,,
select_orderpriority,SSD2GPU,100,1,,16,1,1,268435456,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,23253442560,86839070720,645341184,9600266112,0,-1,1124.17,-1,70.4423,,,,
select_commitdate,SSD2GPU,100,1,,1,1,1,65536,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,65536,81975578624,4800135168,4800133056,0,-1,519.328,-1,16458.4,,,,
select_commitdate,SSD2GPU,100,1,,1,1,1,262144,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,262144,81975775232,4800135168,4800133056,0,-1,532.289,-1,5519.47,,,,
select_commitdate,SSD2GPU,100,1,,1,1,1,1048576,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,1048576,81975775232,4800135168,4800133056,0,-1,581.524,-1,2129.39,,,,
select_commitdate,SSD2GPU,100,1,,1,1,1,4194304,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,4194304,81977872384,4800135168,4800133056,0,-1,521.106,-1,931.225,,,,
select_commitdate,SSD2GPU,100,1,,1,1,1,16777216,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,16777216,81990455296,4800135168,4800133056,0,-1,765.653,-1,452.097,,,,
select_commitdate,SSD2GPU,100,1,,1,1,1,67108864,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,67108864,82007232512,4800135168,4800133056,0,-1,518.82,-1,425.439,,,,
select_commitdate,SSD2GPU,100,1,,1,1,1,268435456,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,268435456,82007232512,4800135168,4800133056,0,-1,694.171,-1,417.919,,,,
select_commitdate,SSD2GPU,100,1,,1,1,1,65536,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,147456,81975578624,1500045312,4800133056,0,-1,7918.31,-1,16084.8,,,,
select_commitdate,SSD2GPU,100,1,,1,1,1,262144,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,589824,81975775232,1500037120,4800133056,0,-1,2806.96,-1,4769.61,,,,
select_commitdate,SSD2GPU,100,1,,1,1,1,1048576,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,2359296,81975775232,1451302912,4800133056,0,-1,1126.36,-1,1649.97,,,,
select_commitdate,SSD2GPU,100,1,,1,1,1,4194304,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,9437184,81977872384,1444823040,4800133056,0,-1,679.098,-1,642.396,,,,
select_commitdate,SSD2GPU,100,1,,1,1,1,16777216,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,37748736,81990455296,1443364864,4800133056,0,-1,549.076,-1,338.973,,,,
select_commitdate,SSD2GPU,100,1,,1,1,1,67108864,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,150994944,82007232512,1442922496,4800133056,0,-1,532.163,-1,201.37,,,,
select_commitdate,SSD2GPU,100,1,,1,1,1,268435456,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,603979776,82007232512,1442803712,4800133056,0,-1,529.75,-1,169.02,,,,
select_commitdate,SSD2GPU,100,1,,2,1,1,65536,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,131072,81975578624,4800135168,4800133056,0,-1,735.159,-1,8222.61,,,,
select_commitdate,SSD2GPU,100,1,,2,1,1,262144,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,524288,81975775232,4800135168,4800133056,0,-1,518.457,-1,2924.09,,,,
select_commitdate,SSD2GPU,100,1,,2,1,1,1048576,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,2097152,81975775232,4800135168,4800133056,0,-1,722.08,-1,1067.35,,,,
select_commitdate,SSD2GPU,100,1,,2,1,1,4194304,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,8388608,81977872384,4800135168,4800133056,0,-1,520.01,-1,488.83,,,,
select_commitdate,SSD2GPU,100,1,,2,1,1,16777216,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,33554432,81990455296,4800135168,4800133056,0,-1,621.655,-1,288.179,,,,
select_commitdate,SSD2GPU,100,1,,2,1,1,67108864,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,134217728,82007232512,4800135168,4800133056,0,-1,542.524,-1,286.635,,,,
select_commitdate,SSD2GPU,100,1,,2,1,1,268435456,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,536870912,82007232512,4800135168,4800133056,0,-1,521.232,-1,302.075,,,,
select_commitdate,SSD2GPU,100,1,,2,1,1,65536,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,294912,81975578624,1500045312,4800133056,0,-1,7852.16,-1,8096.57,,,,
select_commitdate,SSD2GPU,100,1,,2,1,1,262144,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,1179648,81975775232,1500037120,4800133056,0,-1,2981.47,-1,2423.02,,,,
select_commitdate,SSD2GPU,100,1,,2,1,1,1048576,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,4718592,81975775232,1451302912,4800133056,0,-1,1119.96,-1,829.925,,,,
select_commitdate,SSD2GPU,100,1,,2,1,1,4194304,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,18874368,81977872384,1444823040,4800133056,0,-1,679.004,-1,322.861,,,,
select_commitdate,SSD2GPU,100,1,,2,1,1,16777216,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,75497472,81990455296,1443364864,4800133056,0,-1,543.662,-1,189.165,,,,
select_commitdate,SSD2GPU,100,1,,2,1,1,67108864,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,301989888,82007232512,1442922496,4800133056,0,-1,533.333,-1,127.859,,,,
