query,dataflow,scale_factor,customer_factor,core_pin,workers,extra_workers,add_cpu_threads,chunk_bytes,nvchunk,comp_algo,sort_by,max_gpu_um_memory,pruning,pruning_param,pruning_p,pruning_m,col_filter_lo,col_filter_hi,simulate_compute_us,event_sync,device_mem_total,device_mem_used,host_mem_used,comp_bytes,uncomp_bytes,pruned_bytes,population_ms,comp_ms,prune_ms,time_ms,debug_0,debug_1,debug_2,debug_3
#[INFO ] Sum of results            =6004624202085
#[INFO ] Number of results (groups)=600
query3.2,INMEM,200,100,,16,8,32,0,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,323674999360,0,67200429884,0,-1,-1,-1,3752.02,,,,
#Hashtable Builds took 1519.49 ms
#[INFO ] Sum of results            =6004624202085
#[INFO ] Number of results (groups)=600
query3.2,INMEM,200,100,,16,8,32,0,65536,BEST_BW_COMP,natural,16777216,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,323674999360,0,67200429884,0,-1,-1,-1,3714.3,,,,
#Hashtable Builds took 1518.74 ms
#[INFO ] Sum of results            =6004624202085
#[INFO ] Number of results (groups)=600
query3.2,INMEM,200,100,,16,8,32,0,65536,BEST_BW_COMP,natural,67108864,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,323674999360,0,67200429884,0,-1,-1,-1,3727.89,,,,
#Hashtable Builds took 1531.7 ms
#[INFO ] Sum of results            =6004624202085
#[INFO ] Number of results (groups)=600
query3.2,INMEM,200,100,,16,8,32,0,65536,BEST_BW_COMP,natural,268435456,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,323674999360,0,67200429884,0,-1,-1,-1,3748.21,,,,
#Hashtable Builds took 437.09 ms
#[INFO ] Sum of results            =234241415313
#[INFO ] Number of results (groups)=24
query3.3,INMEM,200,100,,16,8,32,0,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,323674999360,0,67200429884,0,-1,-1,-1,2371.71,,,,
#Hashtable Builds took 457.341 ms
#[INFO ] Sum of results            =234241415313
#[INFO ] Number of results (groups)=24
query3.3,INMEM,200,100,,16,8,32,0,65536,BEST_BW_COMP,natural,16777216,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,323674999360,0,67200429884,0,-1,-1,-1,2328.25,,,,
#Hashtable Builds took 451.917 ms
#[INFO ] Sum of results            =234241415313
#[INFO ] Number of results (groups)=24
query3.3,INMEM,200,100,,16,8,32,0,65536,BEST_BW_COMP,natural,67108864,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,323674999360,0,67200429884,0,-1,-1,-1,2327.12,,,,
#Hashtable Builds took 462.964 ms
#[INFO ] Sum of results            =234241415313
#[INFO ] Number of results (groups)=24
