# GPU   Info: NVIDIA A100-SXM4-40GB, 00000000:B7:00.0
# Slurm Info: 24264 32 1 gres:gpu:gpu_group3:1
# ../bin/sample_ssb --chunk_bytes=8388608,16777216,33554432,67108864,134217728,268435456 --comp_algo=LZ4,Cascaded,Snappy,Gdeflate,Bitcomp,ANS --cuda_device=0 --init_variant=init_only --nvchunk=65536 --repeat=2 --scale_factor=200 --ssdpath=/raid/gds/100G.file --dbpath=/mnt/labstore/nboeschen/ssb/diskdb200.dat --store_offset=0 --workers=8 --customer_factor=1 --columns=lo_key,lo_linenum,lo_custkey,lo_partkey,lo_suppkey,lo_orderdate,lo_linenumber,lo_orderpriority,lo_quantity,lo_extendedprice,lo_ordtotalprice,lo_discount,lo_revenue,lo_supplycost,lo_tax,lo_commitdate,lo_shipmode --sample_ratio=0.01,0.05,0.1,0.2
col_name,comp_algo,uncomp_bytes,chunk_bytes,sample_ratio,workers,comp_bytes,comp_time,decomp_time
lo_linenum_sample_BW,Cascaded,120001535,8388608,0.1,8,38539264,18.0658,3.33573
lo_linenum_sample_RATIO,Cascaded,120001535,134217728,0.1,8,36986880,21.6956,5.94242
lo_custkey_sample_BW,Cascaded,960012280,16777216,0.1,8,125263872,79.7774,8.29176
lo_custkey_sample_RATIO,Cascaded,960012280,8388608,0.1,8,124346368,84.8379,9.73706
lo_partkey_sample_BW,Cascaded,960012280,16777216,0.1,8,263364608,109.456,15.0913
lo_partkey_sample_RATIO,Bitcomp,960012280,8388608,0.1,8,230682624,101.279,18.3179
lo_suppkey_sample_BW,Bitcomp,960012280,33554432,0.1,8,131256320,69.0343,9.52874
lo_suppkey_sample_RATIO,Bitcomp,960012280,8388608,0.1,8,129101824,79.4323,12.8578
lo_orderdate_sample_BW,Cascaded,960012280,67108864,0.1,8,80703488,66.6977,5.63683
lo_orderdate_sample_RATIO,Cascaded,960012280,8388608,0.1,8,76648448,74.332,8.44921
lo_linenumber_sample_BW,Bitcomp,120001535,16777216,0.1,8,50692096,84.2515,3.69014
lo_linenumber_sample_RATIO,ANS,120001535,134217728,0.1,8,39424000,21.6369,6.16086
lo_orderpriority_sample_BW,Gdeflate,1920024560,67108864,0.1,8,122978304,244.016,13.044
lo_orderpriority_sample_RATIO,Gdeflate,1920024560,8388608,0.1,8,121688064,889.177,30.8717
lo_quantity_sample_BW,Bitcomp,120001535,8388608,0.1,8,94679040,26.786,6.37955
lo_quantity_sample_RATIO,ANS,120001535,134217728,0.1,8,84996096,33.0631,12.0837
lo_extendedprice_sample_BW,Bitcomp,480006140,16777216,0.1,8,358825984,99.9154,20.6541
lo_extendedprice_sample_RATIO,Bitcomp,480006140,16777216,0.1,8,358825984,99.9154,20.6541
lo_ordtotalprice_sample_BW,Cascaded,480006140,67108864,0.1,8,71757824,41.6624,5.64024
lo_ordtotalprice_sample_RATIO,Cascaded,480006140,268435456,0.1,8,58658816,56.6097,8.42296
lo_discount_sample_BW,ANS,120001535,8388608,0.1,8,54681600,40.9704,4.55694
